scenario,delta_on,turn,phi,cv,is_drifting,S_fro_norm,step,gamma
STABLE,True,83,0.910023,0.048639,0,0.316737,84,0.785174
STABLE,True,84,0.910181,0.048145,0,0.322865,85,0.785966
STABLE,True,85,0.871538,0.042685,0,0.323405,86,0.794544
STABLE,True,86,0.796815,0.05271,0,0.330346,87,0.778536
STABLE,True,87,0.812068,0.05197,0,0.328328,88,0.779755
STABLE,True,88,0.798727,0.052078,0,0.310244,89,0.779579
STABLE,True,89,0.791964,0.051416,0,0.308582,90,0.780665
STABLE,True,90,0.865997,0.049114,0,0.308993,91,0.784408
STABLE,True,91,0.899835,0.053119,0,0.304263,92,0.777858
STABLE,True,92,0.902935,0.052965,0,0.306998,93,0.778114
STABLE,True,93,0.859455,0.046744,0,0.303669,94,0.788199
STABLE,True,94,0.900888,0.045612,0,0.320313,95,0.789988
STABLE,True,95,0.816267,0.048148,0,0.311199,96,0.785961
STABLE,True,96,0.858009,0.042592,0,0.3071,97,0.794688
STABLE,True,97,0.799319,0.047819,0,0.31001,98,0.786487
STABLE,True,98,0.813555,0.045364,0,0.326014,99,0.790378
STABLE,True,99,0.880704,0.044773,0,0.344677,100,0.791303
STABLE,False,0,0.865687,0.0,0,0.0,0,0.0
STABLE,False,1,0.896893,0.025038,0,0.0,0,0.0
STABLE,False,2,0.933755,0.03791,0,0.0,0,0.0
STABLE,False,3,0.844522,0.043896,0,0.0,0,0.0
STABLE,False,4,0.840731,0.044609,0,0.0,0,0.0
STABLE,False,5,0.816922,0.054896,0,0.0,0,0.0
STABLE,False,6,0.779973,0.067341,0,0.0,0,0.0
STABLE,False,7,0.804679,0.032616,0,0.0,0,0.0
STABLE,False,8,0.826514,0.028318,0,0.0,0,0.0
STABLE,False,9,0.853463,0.033215,0,0.0,0,0.0
STABLE,False,10,0.873425,0.045064,0,0.0,0,0.0
STABLE,False,11,0.892515,0.041479,0,0.0,0,0.0
STABLE,False,12,0.886512,0.031043,0,0.0,0,0.0
STABLE,False,13,0.85879,0.0194,0,0.0,0,0.0
STABLE,False,14,0.842043,0.023653,0,0.0,0,0.0
STABLE,False,15,0.828658,0.032055,0,0.0,0,0.0
STABLE,False,16,0.829774,0.028451,0,0.0,0,0.0
STABLE,False,17,0.864833,0.019549,0,0.0,0,0.0
STABLE,False,18,0.860319,0.019937,0,0.0,0,0.0
STABLE,False,19,0.871445,0.023836,0,0.0,0,0.0
STABLE,False,20,0.867619,0.019475,0,0.0,0,0.0
STABLE,False,21,0.944285,0.039946,0,0.0,0,0.0
STABLE,False,22,0.899995,0.038835,0,0.0,0,0.0
STABLE,False,23,0.797885,0.061009,0,0.0,0,0.0
STABLE,False,24,0.778513,0.080849,0,0.0,0,0.0
STABLE,False,25,0.81432,0.084405,0,0.0,0,0.0
STABLE,False,26,0.853318,0.058378,0,0.0,0,0.0
STABLE,False,27,0.834255,0.036066,0,0.0,0,0.0
STABLE,False,28,0.88371,0.047666,0,0.0,0,0.0
STABLE,False,29,0.913412,0.045823,0,0.0,0,0.0
STABLE,False,30,0.900404,0.037413,0,0.0,0,0.0
STABLE,False,31,0.935745,0.042744,0,0.0,0,0.0
STABLE,False,32,0.889904,0.022907,0,0.0,0,0.0
STABLE,False,33,0.862806,0.030119,0,0.0,0,0.0
STABLE,False,34,0.789806,0.062444,0,0.0,0,0.0
STABLE,False,35,0.815598,0.067725,0,0.0,0,0.0
STABLE,False,36,0.864725,0.048214,0,0.0,0,0.0
STABLE,False,37,0.893364,0.049334,0,0.0,0,0.0
STABLE,False,38,0.927257,0.065248,0,0.0,0,0.0
STABLE,False,39,0.95,0.059373,0,0.0,0,0.0
STABLE,False,40,0.8631,0.04266,0,0.0,0,0.0
STABLE,False,41,0.829378,0.054204,0,0.0,0,0.0
STABLE,False,42,0.806196,0.070696,0,0.0,0,0.0
STABLE,False,43,0.804847,0.070901,0,0.0,0,0.0
STABLE,False,44,0.828606,0.028592,0,0.0,0,0.0
STABLE,False,45,0.862034,0.0281,0,0.0,0,0.0
STABLE,False,46,0.844693,0.029787,0,0.0,0,0.0
STABLE,False,47,0.891259,0.038755,0,0.0,0,0.0
STABLE,False,48,0.859988,0.027138,0,0.0,0,0.0
STABLE,False,49,0.824283,0.028769,0,0.0,0,0.0
STABLE,False,50,0.780821,0.049065,0,0.0,0,0.0
STABLE,False,51,0.767334,0.063271,0,0.0,0,0.0
STABLE,False,52,0.802441,0.045472,0,0.0,0,0.0
STABLE,False,53,0.834833,0.035407,0,0.0,0,0.0
STABLE,False,54,0.871786,0.052113,0,0.0,0,0.0
STABLE,False,55,0.896776,0.062279,0,0.0,0,0.0
STABLE,False,56,0.91962,0.054412,0,0.0,0,0.0
STABLE,False,57,0.898584,0.036689,0,0.0,0,0.0
STABLE,False,58,0.849219,0.030623,0,0.0,0,0.0
STABLE,False,59,0.845174,0.037348,0,0.0,0,0.0
STABLE,False,60,0.810585,0.050789,0,0.0,0,0.0
STABLE,False,61,0.818409,0.040933,0,0.0,0,0.0
STABLE,False,62,0.80625,0.024155,0,0.0,0,0.0
STABLE,False,63,0.908033,0.050291,0,0.0,0,0.0
STABLE,False,64,0.852889,0.050771,0,0.0,0,0.0
STABLE,False,65,0.907864,0.056029,0,0.0,0,0.0
STABLE,False,66,0.887818,0.049696,0,0.0,0,0.0
STABLE,False,67,0.907837,0.026872,0,0.0,0,0.0
STABLE,False,68,0.833196,0.038275,0,0.0,0,0.0
STABLE,False,69,0.816616,0.049351,0,0.0,0,0.0
STABLE,False,70,0.819338,0.049284,0,0.0,0,0.0
STABLE,False,71,0.816392,0.046831,0,0.0,0,0.0
STABLE,False,72,0.85512,0.020041,0,0.0,0,0.0
STABLE,False,73,0.92668,0.056138,0,0.0,0,0.0
STABLE,False,74,0.913075,0.059588,0,0.0,0,0.0
STABLE,False,75,0.863717,0.051358,0,0.0,0,0.0
STABLE,False,76,0.825359,0.048022,0,0.0,0,0.0
STABLE,False,77,0.819443,0.056496,0,0.0,0,0.0
STABLE,False,78,0.805455,0.051513,0,0.0,0,0.0
STABLE,False,79,0.816029,0.026986,0,0.0,0,0.0
STABLE,False,80,0.822164,0.009361,0,0.0,0,0.0
STABLE,False,81,0.865483,0.027997,0,0.0,0,0.0
STABLE,False,82,0.864454,0.033853,0,0.0,0,0.0
STABLE,False,83,0.892174,0.037734,0,0.0,0,0.0
STABLE,False,84,0.901763,0.035632,0,0.0,0,0.0
STABLE,False,85,0.825193,0.034294,0,0.0,0,0.0
STABLE,False,86,0.798078,0.051494,0,0.0,0,0.0
STABLE,False,87,0.80439,0.058289,0,0.0,0,0.0
STABLE,False,88,0.818603,0.050343,0,0.0,0,0.0
STABLE,False,89,0.788313,0.018601,0,0.0,0,0.0
STABLE,False,90,0.905202,0.057472,0,0.0,0,0.0
STABLE,False,91,0.868371,0.057944,0,0.0,0,0.0
STABLE,False,92,0.858016,0.053456,0,0.0,0,0.0
STABLE,False,93,0.897017,0.053609,0,0.0,0,0.0
STABLE,False,94,0.871302,0.022862,0,0.0,0,0.0
STABLE,False,95,0.853589,0.019469,0,0.0,0,0.0
STABLE,False,96,0.801664,0.040782,0,0.0,0,0.0
STABLE,False,97,0.802153,0.050148,0,0.0,0,0.0
STABLE,False,98,0.906273,0.053501,0,0.0,0,0.0
STABLE,False,99,0.888636,0.056687,0,0.0,0,0.0
DRIFTING,True,0,0.844788,0.0,0,0.1,1,0.822643
DRIFTING,True,1,0.872012,0.0,0,0.137593,2,0.822643
DRIFTING,True,2,0.835313,0.018719,0,0.169432,3,0.81581
DRIFTING,True,3,0.803795,0.030323,0,0.193593,4,0.810795
DRIFTING,True,4,0.853841,0.027441,0,0.204846,5,0.812102
DRIFTING,True,5,0.915043,0.044729,0,0.20127,6,0.803612
DRIFTING,True,6,0.847471,0.039556,0,0.198549,7,0.806321
DRIFTING,True,7,0.793062,0.047713,0,0.193926,8,0.801979
DRIFTING,True,8,0.784106,0.051726,0,0.208576,9,0.7997
DRIFTING,True,9,0.800243,0.048106,0,0.224278,10,0.80176
DRIFTING,True,10,0.73918,0.061206,0,0.234442,11,0.793918
DRIFTING,True,11,0.716871,0.070352,0,0.24323,12,0.787776
DRIFTING,True,12,0.775932,0.061605,0,0.249369,13,0.793662
DRIFTING,True,13,0.755019,0.056811,0,0.239988,14,0.79667
DRIFTING,True,14,0.758074,0.049131,0,0.235469,15,0.801185
DRIFTING,True,15,0.734984,0.036514,0,0.226191,16,0.807845
DRIFTING,True,16,0.766403,0.027724,0,0.251997,17,0.811975
DRIFTING,True,17,0.784276,0.028181,0,0.270993,18,0.81177
DRIFTING,True,18,0.775265,0.025963,0,0.244181,19,0.812755
DRIFTING,True,19,0.735341,0.026868,0,0.23099,20,0.812357
DRIFTING,True,20,0.750453,0.024245,0,0.238611,21,0.813502
DRIFTING,True,21,0.748587,0.020666,0,0.253946,22,0.825753
DRIFTING,True,22,0.693343,0.038339,0,0.264787,23,0.801133
DRIFTING,True,23,0.682415,0.048633,0,0.266529,24,0.785182
DRIFTING,True,24,0.714233,0.043444,0,0.276692,25,0.793372
DRIFTING,True,25,0.69153,0.043342,0,0.293041,26,0.79353
DRIFTING,True,26,0.702672,0.037914,0,0.306689,27,0.801766
DRIFTING,True,27,0.657349,0.044119,0,0.305463,28,0.792324
DRIFTING,True,28,0.674578,0.037604,0,0.308195,29,0.802227
DRIFTING,True,29,0.604313,0.062616,0,0.289512,30,0.761612
DRIFTING,True,30,0.662507,0.052464,0,0.30073,31,0.778941
DRIFTING,True,31,0.67708,0.043909,0,0.305677,32,0.79265
DRIFTING,True,32,0.701401,0.04425,0,0.311465,33,0.792121
DRIFTING,True,33,0.63438,0.047105,0,0.314746,34,0.787626
DRIFTING,True,34,0.660753,0.040442,0,0.321005,35,0.797972
DRIFTING,True,35,0.64801,0.036989,0,0.301424,36,0.803136
DRIFTING,True,36,0.67667,0.033652,0,0.308937,37,0.808
DRIFTING,True,37,0.587496,0.056826,0,0.292267,38,0.771636
DRIFTING,True,38,0.636978,0.050933,0,0.292941,39,0.781455
DRIFTING,True,39,0.631054,0.045078,0,0.285624,40,0.790827
DRIFTING,True,40,0.608039,0.04571,0,0.268939,41,0.789833
DRIFTING,True,41,0.606049,0.043116,0,0.245671,42,0.793879
DRIFTING,True,42,0.632343,0.034419,0,0.239801,43,0.806894
DRIFTING,True,43,0.544353,0.063921,0,0.251233,44,0.7593
DRIFTING,True,44,0.618995,0.056339,0,0.259308,45,0.772462
DRIFTING,True,45,0.610279,0.048705,0,0.264581,46,0.785068
DRIFTING,True,46,0.566155,0.0496,0,0.278143,47,0.783623
DRIFTING,True,47,0.597278,0.043825,0,0.290121,48,0.792782
DRIFTING,True,48,0.558439,0.046939,0,0.297264,49,0.787889
DRIFTING,True,49,0.542213,0.051893,0,0.290426,50,0.779883
DRIFTING,True,50,0.492922,0.078025,0,0.300835,51,0.733164
DRIFTING,True,51,0.520737,0.070652,0,0.308063,52,0.747091
DRIFTING,True,52,0.553234,0.059188,0,0.308745,53,0.767591
DRIFTING,True,53,0.546831,0.052906,0,0.30394,54,0.778211
DRIFTING,True,54,0.574414,0.049112,0,0.3075,55,0.784411
DRIFTING,True,55,0.505851,0.054211,0,0.317527,56,0.776041
DRIFTING,True,56,0.598317,0.0654,0,0.308693,57,0.756659
DRIFTING,True,57,0.459906,0.097018,0,0.311222,58,0.694829
DRIFTING,True,58,0.534054,0.085609,0,0.319253,59,0.718264
DRIFTING,True,59,0.539505,0.072331,0,0.327692,60,0.743968
DRIFTING,True,60,0.486597,0.074867,0,0.3252,61,0.739198
DRIFTING,True,61,0.491614,0.069735,0,0.329413,62,0.748781
DRIFTING,True,62,0.441464,0.088859,0,0.321654,63,0.711708
